0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
LandJa00,MIA,25,WR,16,16,161,112,69.6%,987,8.8,9,62,49,6.1,7.0,61.7,4,2017
FitzLa00,ARI,34,WR,16,16,161,109,67.7%,1156,10.6,6,65,37,7.2,6.8,72.3,1,2017
ThomMi05,NOR,24,WR,16,14,149,104,69.8%,1245,12.0,5,71,43,8.4,6.5,77.8,0,2017
AlleKe00,LAC,25,WR,16,15,159,102,64.2%,1393,13.7,6,74,51,8.8,6.4,87.1,1,2017
BrowAn04,PIT,29,WR,14,14,163,101,62.0%,1533,15.2,9,69,57,9.4,7.2,109.5,4,2017
HopkDe00,HOU,25,WR,15,15,174,96,55.2%,1378,14.4,13,69,72,7.9,6.4,91.9,1,2017
TateGo00,DET,29,WR,16,12,120,92,76.7%,1003,10.9,5,44,71,8.4,5.8,62.7,1,2017
ThieAd00,MIN,27,WR,16,16,142,91,64.1%,1276,14.0,4,59,65,9.0,5.7,79.8,3,2017
JoneJu02,ATL,28,WR,16,16,148,88,59.5%,1444,16.4,3,67,53,9.8,5.5,90.3,0,2017
BellLe00,PIT,25,RB,15,15,106,85,80.2%,655,7.7,2,32,42,6.2,5.7,43.7,3,2017
KelcTr00,KAN,28,TE,15,15,122,83,68.0%,1038,12.5,8,53,44,8.5,5.5,69.2,0,2017
ThomDe03,DEN,30,WR,16,16,140,83,59.3%,949,11.4,5,53,40,6.8,5.2,59.3,1,2017
KamaAl00,NOR,22,RB,16,3,100,81,81.0%,826,10.2,5,38,40,8.3,5.1,51.6,1,2017
DoylJa00,IND,27,TE,15,15,108,80,74.1%,690,8.6,4,36,26,6.4,5.3,46.0,2,2017
McCaCh01,CAR,21,RB,16,10,113,80,70.8%,651,8.1,5,37,37,5.8,5.0,40.7,2,2017
BaldDo00,SEA,29,WR,16,16,116,75,64.7%,991,13.2,8,44,54,8.5,4.7,61.9,0,2017
GreeA.00,CIN,29,WR,16,16,143,75,52.4%,1078,14.4,8,55,77,7.5,4.7,67.4,2,2017
HillTy00,KAN,23,WR,15,13,105,75,71.4%,1183,15.8,7,40,79,11.3,5.0,78.9,2,2017
AdamDa01,GNB,25,WR,14,14,117,74,63.2%,885,12.0,10,46,55,7.6,5.3,63.2,0,2017
ErtzZa00,PHI,27,TE,14,13,110,74,67.3%,824,11.1,8,46,53,7.5,5.3,58.9,1,2017
JohnDu00,CLE,24,RB,16,0,93,74,79.6%,693,9.4,3,32,41,7.5,4.6,43.3,4,2017
WalkHu00,TEN,33,TE,16,11,111,74,66.7%,807,10.9,3,44,42,7.3,4.6,50.4,2,2017
EvanMi00,TAM,24,WR,15,15,136,71,52.2%,1001,14.1,5,55,42,7.4,4.7,66.7,1,2017
BryaDe01,DAL,29,WR,16,16,132,69,52.3%,838,12.1,6,44,50,6.3,4.3,52.4,1,2017
GronRo00,NWE,28,TE,14,14,105,69,65.7%,1084,15.7,8,57,53,10.3,4.9,77.4,1,2017
SanuMo00,ATL,28,WR,15,15,96,67,69.8%,703,10.5,5,41,25,7.3,4.5,46.9,0,2017
CobbRa00,GNB,27,WR,15,14,92,66,71.7%,653,9.9,4,30,46,7.1,4.4,43.5,1,2017
CrowJa00,WAS,24,WR,15,6,103,66,64.1%,789,12.0,3,38,41,7.7,4.4,52.6,6,2017
CookBr00,NWE,24,WR,16,15,114,65,57.0%,1082,16.6,7,42,64,9.5,4.1,67.6,0,2017
2017,,,,,,,,,,,,,,,,,,
KearJe01,NYJ,27,WR,16,14,102,65,63.7%,810,12.5,5,37,51,7.9,4.1,50.6,1,2017
DiggSt00,MIN,24,WR,14,14,95,64,67.4%,849,13.3,8,42,59,8.9,4.6,60.6,0,2017
EngrEv00,NYG,23,TE,15,11,115,64,55.7%,722,11.3,6,37,35,6.3,4.3,48.1,0,2017
GurlTo01,LAR,23,RB,15,15,87,64,73.6%,788,12.3,6,32,80,9.1,4.3,52.5,5,2017
AndeRo04,NYJ,24,WR,16,15,114,63,55.3%,941,14.9,7,38,69,8.3,3.9,58.8,0,2017
FuncDe00,CAR,23,WR,16,16,111,63,56.8%,840,13.3,8,40,44,7.6,3.9,52.5,0,2017
WittJa00,DAL,35,TE,16,16,87,63,72.4%,560,8.9,5,26,28,6.4,3.9,35.0,1,2017
AghoNe00,PHI,24,WR,16,10,95,62,65.3%,768,12.4,8,35,72,8.1,3.9,48.0,0,2017
KuppCo00,LAR,24,WR,15,6,94,62,66.0%,869,14.0,5,42,64,9.2,4.1,57.9,1,2017
AmenDa00,NWE,32,WR,15,8,86,61,70.9%,659,10.8,2,40,27,7.7,4.1,43.9,2,2017
HumpAd00,TAM,24,WR,16,3,83,61,73.5%,631,10.3,1,36,43,7.6,3.8,39.4,1,2017
JoneMa02,DET,27,WR,16,16,107,61,57.0%,1101,18.0,9,44,58,10.3,3.8,68.8,0,2017
WatsBe00,BAL,37,TE,16,12,79,61,77.2%,522,8.6,4,30,33,6.6,3.8,32.6,1,2017
HydeCa00,SFO,27,RB,16,16,88,59,67.0%,350,5.9,0,18,18,4.0,3.7,21.9,2,2017
McCoLe01,BUF,29,RB,16,16,77,59,76.6%,448,7.6,2,23,39,5.8,3.7,28.0,3,2017
ShepSt00,NYG,24,WR,11,10,84,59,70.2%,731,12.4,2,36,77,8.7,5.4,66.5,1,2017
WrigKe01,CHI,28,WR,16,4,91,59,64.8%,614,10.4,1,33,22,6.7,3.7,38.4,0,2017
CrabMi00,OAK,30,WR,14,14,101,58,57.4%,618,10.7,8,35,41,6.1,4.1,44.1,1,2017
GordMe00,LAC,24,RB,16,16,83,58,69.9%,476,8.2,4,22,49,5.7,3.6,29.8,1,2017
IngrMa01,NOR,28,RB,16,12,71,58,81.7%,416,7.2,0,19,54,5.9,3.6,26.0,3,2017
SmitJu00,PIT,21,WR,14,7,79,58,73.4%,917,15.8,7,37,97,11.6,4.1,65.5,0,2017
